Category/tQuestion	Choice-1	Choice-2	Choice-3	Choice-4	Answer
Animals	Three of these animals hibernate. Which one does not?	Mouse	Sloth	Frog	Snake	Sloth
Animals	All of these animals are omnivorous except one.	Fox	Mouse	Opossum	Snail	Snail
Animals	Three of these Latin names are names of bears. Which is the odd one?	Melursus ursinus	Helarctos malayanus	Ursus minimus	Felis silvestris catus	Felis silvestris catus
Animals	These are typical Australian animals except one.	Platypus	Dingo	Echidna	Sloth	Sloth
Animals	Representatives of three of these species produce venom of their own. Which is the odd species?	Lizards	Scorpions	Frogs	Mosquitos	Mosquitos
Animals	Three of these species shed their skin. Which one does not?	Penguins	Snakes	Insects	Crustaceans	Penguins
Animals	All dogs, cats and birds are colorblind.	True	False			False
Animals	All of these animals have large ears (relative to their size) except one.	Polar bears	Foxes	Bats	Elephants	Polar bears
Animals	This percentage of all snakes on Earth are lethal to humans.	10%	20%	15%	25%	15%
Animals	Snakes are this kind of animals.	Herbivorous	Omnivorous	Carnivorous	Vegetarian	Carnivorous
Animals	Snakes consume their food by means of this process.	Breathing	Absorption	Swallowing	Chewing	Swallowing
Animals	Snakes reproduce only by laying eggs.	True	False			False
Animals	Snakes are deaf.	True	False			True
Animals	Snake skin is covered in scales.	True	False			True
Animals	Snakes belong to the following category.	Invertebrates	Lizards	Reptiles	Mammals	Reptiles
Animals	A specialist in snakes is called one of these.	Pisciculturist	Ornithologist	Ophiologist	Herpetologist	Ophiologist
Animals	One of the following snakes does not belong to the Viperidae family.	Horned adder	Grass snake	Viper	Asp	Grass snake
Animals	Snakes are very likely to attack us, regardless of whether they feel threatened or not.	True	False			False
Animals	Cobras are venomous snakes of family Elapidae, that generally inhabit regions of these two continents.	South America and Asia	Asia and Africa	Asia and Australia	South America and Australia	Asia and Africa
Animals	The cobras most recognizable feature is its hood, a flap of skin and muscle behind the head, believed to serve this purpose.	Balance control	Heat collection from sun rays	Camouflage	More threatening appearance	More threatening appearance
Animals	The Cobra is at the top of the food chain, with only two main predators -- one is man and the other is this animal.	Jackal	Mongoose	Lynx	Eagle	Mongoose
Animals	This is where the Cobras ribs are situated.	Behind its head	In its chest, around the middle of the body	Cobras have no ribs	In its tale	Behind its head
Animals	The King Cobra feeds almost exclusively on other snakes, even toxic ones.	True	False			True
Animals	A baby cobra is fully able to defend itself in as little as this many hours after being born.	3	12	48	72	3
Animals	What type of dog did Richard Nixon receive from a Texan while he was a candidate for Vice President?	German Shepherd	Cocker Spaniel	Golden Retriever	Welsh Corgy	Cocker Spaniel
Animals	What was the name of Socks companion at the White House during the Clinton Administration?	Buddy	Shoes	Bailey	Buster	Buddy
Animals	President Fords dog was named Freedom.	False	True			False
Animals	Which of these Presidents had the most pets?	Franklin Delano Roosevelt	Theodore Roosevelt	Bill Clinton	Woodrow Wilson	Theodore Roosevelt
Animals	What breed is known as the favourite breed of Queen Elizabeth II?	Border Collie	Old English Sheepdog	Welsh Corgi	Australian Cattle Dog	Welsh Corgi
Animals	What was the name of Fraisers fathers dog on the hit TV show set in Seattle?	Niles	Marty	Eddie	Skip	Eddie
Animals	Which one of these sea mammals is not in the endangered species lists?	Fin Whale	Pilot whale	Blue Whale	Humpback Whale	Pilot whale
Animals	This endangered turtle is the biggest of all living turtles, reaching a length of over 2.7 m (8.8 ft) and weight of 900 kg (2,000 lb).	Leatherback Sea Turtle	Kemps Ridley Turtle	Hawksbill Sea Turtle	Mesoamerican River Turtle	Leatherback Sea Turtle
Animals	Name the rarest and most endangered of all wolves.	Red Wolf	Ethiopian Wolf	Black-backed Wolf	Gray Wolf	Red Wolf
Animals	The endangered Komodo dragon is the largest living lizard in the world, growing to an average length of 2-3 meters (10 feet).	False	True			True
Animals	This species of great apes with long arms and reddish hair suffer habitat destruction due to logging, mining and forest fires.	Gorilla	Baboons	Orangutan	Chimpanzee	Orangutan
Animals	What is the natural habitat of the snows leopard, that was hunted down for its beautiful fur, as a result of which its population went down to 1,000 animals in the 1960s?	North America	Central Asia and North America	Central Asia	Europe and North America	Central Asia
Animals	The Asian Elephant, the only living species of the genus Elephas, is the bigger relative of the African Elephant.	True	False			False
Animals	This freshwater mammal, found only in the Yangtze River, is the most endangered (even possibly extinct) cetacean and one of the most endangered species in the world.	Ganges River Dolphin	Chinese River Dolphin	La Plata Dolphin	Amazon River Dolphin	Chinese River Dolphin
Animals	This small nocturnal animal, whose natural habitat are the deserts of Northern Africa, is known to jump not only for hunting or protection, but also for pleasure.	Cape Fox	Red Fox	Bengal Fox	Fennec	Fennec
Animals	Jack jumper ants, yellowish-orange carnivorous ants named after their characteristic jumpy motions, can be found only on which continent?	North America	Australia	Africa	Asia	Australia
Animals	This small, graceful member of the antelope family is an extraordinary jumper - while leaping, it touches the rocky terrain of its South African habitats only with the tip of its hooves, resembling a dance.	Oribi	Roan Antelope	Scimitar Oryx	Klipspringer	Klipspringer
Animals	Although the jumping viper, a chiefly nocturnal snake, is one of the most powerful jumpers of the snake family, capable of rising up to 1 meter (3 feet) during a strike, its poison is not lethal to humans.	False	True			False
Animals	Zoophobia is the fear of animals.	True	False			True
Animals	The hummingbird is the worlds smallest bird.	False	True			True
Animals	Which of these animals swims the fastest?	Flounder	Shark	Dolphin	Jellyfish	Dolphin
Animals	Which word refers to the sound peacocks make?	Scream	Squill	Squeak	Squall	Scream
Animals	Ancient Japanese thought this animal caused earthquakes.	Birds	Spiders	Snakes	Frogs	Spiders
Animals	How many types of bats are there?	900	700	500	200	900
Animals	Chocolate cannot kill a dog.	True	False			False
Animals	This animal can clean its own ears with its 21-inch tongue.	Lizard	Elephant	Lion	Giraffe	Giraffe
Animals	It has been estimated that in Australia, there are about twice as many kangaroos as there are people.	True	False			True
Animals	What is the fastest animal on 6 legs?	Ladybug	Cockroach	Beetle	Ant	Cockroach
Animals	Sheep are similar to cows in that they have a stomach which contains four chambers.	False	True			True
Animals	What is a female sheep called or known as?	ewe	colt	fleece	ram	ewe
Animals	What is the white tigers scientific name?	Pantha	Panthera tigis	Panthera tiger	Panthera tigris	Panthera tigris
Animals	Can tigers live to be 20 years old?	Yes	No			Yes
Animals	All tigers have stripes.	False	True			False
Animals	Which of the following is not a type of chipmunk?	Bushy-tailed	Long-eared	Eastern	Sonoma	Bushy-tailed
Animals	Which of these is not an actual breed of horse?	Sioux	Russian Trotter	Belgian	Murgese	Sioux
Animals	Which of the following is not a breed of dog?	Pom-a-poo	Lakeland terrier	Fox terrier	Ferret terrier	Ferret terrier
Animals	One of these is not a true breed of cat. Which one?	Pixie-bob	Maine coon	Ragdoll	French Twist	French Twist
Animals	Which of these is not a type of beetle?	Long-horn beetle	Stag beetle	Flea beetle	Burrowing beetle	Burrowing beetle
Animals	Which of the following is not a type of spider?	Glass spider	Trapdoor spider	Brown recluse spider	Bird-dropping spider	Glass spider
Animals	All but one of the following are true types of bears. Which is the odd one?	Moon bear	Brown bear	Black bear	Sun bear	Moon bear
Animals	Which of these is not an actual breed of sheep?	Scottish black-face	Dakota	Hampshire	Merino	Dakota
Animals	One of these is not a true breed of chicken. Which one?	Hamburg	Plymouth Rock	Leghorn	Red-tailed	Red-tailed
