Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
History	In which US state is the active Mount Rainier volcano located?	Michigan	Ohio	Washington	New York	Washington
History	In 1990, this 5000 year old body was found in the Alps. Scientists discovered some tattoos on his leg which indicated that acupuncture was used as far back as the Copper-stone Age.	Big Foot	Sasquatch	Nessie	Oetzi	Oetzi
History	After unsuccessful  talks about oil production and debt repayment, Iraq occupied Kuwait.  In January 1991 the US launched an air attack against military targets in Iraq and Kuwait in this operation.	Matador	BOLERO	Determined Force	Desert Storm	Desert Storm
History	It is the process of producing identical copies of a DNA segment asexually.  In 1996 the first successful one of an animal was made. The animals name was Dolly.  Dolly later died, but Richard Seed announced that he intended try it on humans.	Organ Transplant	Cloning	Bloodless Surgery	Laser Surgery	Cloning
History	This kind of music became largely popular in Europe and America in the 1990s. It is a melodic, free form combination between techno and house, having hypnotic qualities. The first distinctive track of this kind was Age Of Love, released in 1990.	Electro	Trance	Techno	Dance	Trance
History	This womans death was arguably the most shocking one of the decade. She died in 1997 in a car crash while evading paparazzi. The woman was taken to a hospital, but the two-hour efforts of surgeons to save her life were unsuccessful.	Greta Garbo	Nancy Marchand	Madam C. J. Walker	Princess Diana	Princess Diana
History	This union, made up of European countries, was established by the Maastricht Treaty in 1992. Starting as a trade body it is now an economic and political partnership between its members.	American Labor Union	Oxford Union	The European Union	European Trade Union	The European Union
History	Although the first one was sent in 1971, it became widely popular in 1998. Its popularity caused explosive growth of the internet.	The Chat programs	The URL	The E-mail	The Website	The E-mail
History	Impeachment stands for quickly removing dangerously criminal officials from high office. The Impeachment Trial in the Senate for this US President commenced on January 7, 1999.	George Bush	Ronald Reagan	Bill Clinton	Richard Nixon	Bill Clinton
History	On August 17, 1999 this disaster took the lives of 15 000 and injured 23 000 people in western Turkey.	Earthquake	Tsunami	Avalanche	Volcano eruption	Earthquake
