Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
Humanities	Which vegetables are considered taboo food in Buddhist tradition?	All legumes	Garlic and onion	Eggplants and tomatoes	Cabbage and lettuce	Garlic and onion
Humanities	Is this the correct usage of the word inferring? 	No	Yes			No
Humanities	Is this the correct usage of the word continually? 	No	Yes			No
Humanities	Which of these sentences is correct?	From hence to eternity, I will search.	Whence did he come?	From whence did he come?	If you build it, thence he will come.	Whence did he come?
Humanities	Which of these is correct?	The capitol building is located in the capitol.	The capital building is located in the capital.	The capitol building is located in the capital.	The capital building is located in the capitol.	The capitol building is located in the capital.
Humanities	In the following sentence, which word is incorrect?  	principal	unprincipled	principle	None of the words is incorrect; the sentence is correct as is.	None of the words is incorrect; the sentence is correct as is.
Humanities	Which of the following is NOT a synonym of the word reticent?	These are all synonyms of the word reticent.	Restrained	Silent	Reluctant	These are all synonyms of the word reticent.
Humanities	Which of the following is incorrect?	The class comprised 30 people.	Thirty people comprised the class.	These are all correct usages of the word comprised.	The class was comprised of 30 people.	These are all correct usages of the word comprised.
Humanities	Which of these is incorrect?	He woke up at six.	All of these sentences are correct.	He awoke at six.	He awakened at six.	All of these sentences are correct.
Humanities	Which of these sentences means I love you in Spanish?	Te amo.	Kocham cie.	Mi amas vin.	Ti amo.	Te amo.
Humanities	Rakastan sinua is one of the ways to say I love you in which European language?	Bulgarian	French	Finnish	German	Finnish
Humanities	Which expression would you use to say I love you in Danish?	Jeg elsker dig.	Volim te.	I love thee.	Je taime.	Jeg elsker dig.
Humanities	In what European language does Je taime mean I love you?	Swedish	Italian	German	French	French
Humanities	Which of the following sentences means I love you in German?	Ich liebe Dich.	Te amo.	Volim te.	Je taime.	Ich liebe Dich.
Humanities	Volim te means I love you in three of these European languages. Which is the odd one?	Croatian	Bosnian	Italian	Serbian	Italian
Humanities	What is the Swahili expression for I love you?	Te quiero	Nakupenda	Ti amo	Je taime	Nakupenda
Humanities	In which Turkic language does Seni seviyorum mean I love you?	Navajo	Hebrew	Icelandic	Turkish	Turkish
Humanities	Name this artificially-constructed international language, in which Mi amas vin means I love you.	Thai	Navajo	Spanish	Esperanto	Esperanto
Humanities	Which of these sentences means I love you in Dutch?	Ti amo.	Ik hou van jou.	Ne mohotatse.	Ich liebe Dich.	Ik hou van jou.
Humanities	The implement, used to extinguish the flame of a candle, is called this.	Candleberry	Candleholder	Candlestick	Candlesnuffer	Candlesnuffer
Humanities	When something contains or yields an acid, it is this.	Acidiferous	Acidophilous	Acidimetric	Acidifiable	Acidiferous
Humanities	The monitoring, recording, and measuring of a living organisms basic physiological functions is known as this.	Biomedicine	Bipartisanism	Biosystematy	Biotelemetry	Biotelemetry
Humanities	Enterokinase is this.	Disease	Medical condition	Enzyme	Hormone	Enzyme
Humanities	Copious perspiration is known as this.	Diaphoresis	Deuterogamy	Detumescence	Diabolisation	Diaphoresis
Humanities	Gerontology is the branch of medical science that deals with diseases and problems specific to these people.	Adults	Elderly	Blind people	Children	Elderly
Humanities	One of these terms means preserving the mutual relations of parts, especially as to size and form; maintaining relative proportion.	Homologisation	Homomorphic	Homomorphism	Homolographic	Homolographic
Humanities	Hyperplasia is the abnormal increase in the number of these.	Species	Habitat	Teeth	Cells	Cells
Humanities	The authority to teach religious doctrine is referred to as this.	Mastigophoran	Magistrature	Magistrateship	Magisterium	Magisterium
Humanities	The word vampire is a very controversial one, when it comes to its etymology. There are many theories about its origin and meaning. According to one of these theories, vampire comes from the Magyar words vam, meaning blood, and pir. What does pir mean in Magyar?	Blood	Animal	Human	Monster	Monster
Humanities	One of the most famous vampires is Dracula (some believe that he was the first vampire). In Romanian Dracul means either Dragon or Devil and therefore Dracula is translated as Son of the Dragon or Son of the Devil. Due to his favorite sadistic punishment, Vlad Dracula was nicknamed Tepes.  He preferred to kill those who opposed him in this manner.	Hanging	Disembowelment	Impalement	Beheading	Impalement
Humanities	Vlad Tepes was one of the major allies of the Ottoman Empire, therefore Romania was never put under Ottoman rule.	True	False			False
Humanities	Of course everybody knows about the Blood Vampires. They feed on the blood of their victims and prefer sucking it from the neck, the wrist or the groin. But there is another, less known, kind of vampires.  What do they feed on?	Vegetables	Flesh	Brains	Aura	Aura
Humanities	Vampires are common to the folklore of many countries. The Civatateo is an Aztec vampire, created when a noblewoman died at childbirth. In aboriginal mythology, vampires had suckers on their fingers. What are the Yakshis (sort of Indian vampires) like?	Beautiful women	Ugly Men	Wounded Wolves	Innocent Children	Beautiful women
Humanities	It is believed that you can stop a vampire, by throwing rice or marbles on the floor.	False	True			True
Humanities	One of the most popular ways of killing a vampire (apart from the trivial sharp wooden stick in the heart), is to expose the creature to sunlight. However, there is a disease, that has similar symptoms. People who suffer from it are very sensitive to sunlight and avoid going out during the day. What is this horrible disease?	Anemia	Scrapie	Influenza	Porphyria	Porphyria
Humanities	This woman was believed to be a vampire. She was obsessed with her beauty and youth, and slaughtered as many as six hundred innocent women in an attempt to maintain her vitality. Although her guilt has never been proven, she is still one of the most famous serial killers in Hungarian and Slovak history.	Janos Benicka	Ilona Ujvary	Katarina Szentes	Elizabeth Bathory	Elizabeth Bathory
Humanities	Silver doesnt harm vampires.	False	True			False
Humanities	Peter Kurten was called a vampire, because he consumed the blood of some of his victims. He was accused of nine murders and seven attempted murders and was sentenced to death. He was guillotined on 2 June 1932. What was his nationality?	Briton	Romanian	Russian	German	German
Humanities	The great circle on the celestial sphere, midway between the celestial poles is called this.	Equilibration	Equinity	Equilibria	Equinoctial	Equinoctial
Humanities	If I am famous for my steadiness of mind under stress, then I am famous for this.	Equid	Equalization	Equanimity	Equalitarianism	Equanimity
Humanities	If a statement is ambiguous, it is said to be this.	Equestrian	Equipoised	Equivocal	Equilateral	Equivocal
Humanities	One of the four pairs of words below contains two synonyms.	Equal - Equivalent	Equipollent - Equipped	Equipotential - Equilateral	Equipage - Equipoise	Equal - Equivalent
Humanities	Do the words equivoke and equivoque mean the same?	No	Yes			Yes
Humanities	Gilgamesh is a character from the Sumerian mythology.	True	False			True
Humanities	Athena was the Greek equivalent of the goddess Minerva.	True	False			True
Humanities	Nike was a goddess, who personified triumph and victory (Greek mythology). Ironically, she was paralyzed and could not move her legs.	False	True			False
Humanities	Helicon is the name of an ancient lake, where the Muses were born.	True	False			False
Humanities	Calliope was the muse for music.	True	False			False
Humanities	Marduk was a Mesopotamian deity.	False	True			True
Humanities	Svarog is the highest god of the pantheon (Slavic mythology) and the god of thunder and lightning.	True	False			False
Humanities	The creature from Slavic mythology known as Zmey actually resembles a dragon.	False	True			True
Humanities	Loki is the god of mischief of Norse mythology.	True	False			True
Humanities	One of these words has mid-17th century Latin origins and is a synonym of the word, wavy.	Unhair	Unialgal	Unduly	Undulate	Undulate
Humanities	Which of these definitions does not describe a present day meaning of the word sesquipedalian?	Characterized by the use of long words	Having a lot of feet	Having many syllables	Large in length	Having a lot of feet
Humanities	The archaic word wittol, already out of use and found mostly in old books, stands for a person who is very wise.	True	False			False
Humanities	Which of these words is used to describe something with a yellow color or tending toward a yellow color?	Xeric	Xenolith	Xanadu	Xanthic	Xanthic
Humanities	The word “promiscuous�? is used in physical description to refer to someone with exclusive charm and sex appeal.	False	True			False
Humanities	We all know purple and its numerous variations, but can you name the odd one in this synonymic order dedicated to the shade of purple?	Lavender	Indigo	Amethyst	Wine	Indigo
Humanities	Having in mind the words meaning, does it  fit in the following analogy: Juvenile is to young as *geriatric* is to aged.	No	Yes			Yes
Humanities	The amarok, which is typical for the mythology of the Eskimos, is what kind of an animal?	whale	walrus	bear	wolf	wolf
Humanities	The banshee, a female spirit in Irish mythology, is known for doing what?	Laughing	Stealing	Playing tricks	Wailing	Wailing
Humanities	The hippocampus, a mythical monster with the head of a horse and body of a fish, pulled the chariot of which god?	Zeus	Poseidon	Mars	Neptune	Poseidon
Humanities	Anubis was the jackal-headed judge of the dead from what mythology?	Egyptian	Aztec	Mesopotamian	Norse	Egyptian
Humanities	The Kraken from seafaring lore was a monster often described as what?	Humpback whale	Giant jellyfish	Great White shark	Giant squid	Giant squid
Humanities	A brownie is a legendary elf popular in the folklore of which two countries?	Germany Austria	England Scotland	Ireland Wales	Denmark Holland	England Scotland
Humanities	A cuero is a mythical giant octopus of which continent?	South America	Africa	North America	Europe	South America
Humanities	A dwarf is a little humanoid creature with a large head and a long beard, typical for what mythology?	Cornish	Scottish	Celtic	Scandinavian	Scandinavian
Humanities	A ghul is an evil spirit encountered by travelers in what area of the world?	Arabian Dessert	Scottish Highlands	Northern Africa	Australian Outback	Arabian Dessert
Humanities	The wodewose is a club-wielding ogre with green hair who suffers from what malady?	He was mute	He was blind	He was lame	He was deaf	He was mute
Humanities	The gods Atum and Ra merged.  The dominant of the two was Ra.	True	False			True
Humanities	Priests often wore a mask of this god during mummification ceremonies.	Bastet	Hapy	Aten	Anubis	Anubis
Humanities	God Bes was depicted as this.	Dwarf with lion and human features	Giant with dog and human features	Dwarf with dog and human features	Giant with lion and human features	Dwarf with lion and human features
Humanities	Osiris had an equivalent in Greek mythology.  Who was this counterpart of his?	Herakles	Zeus	Hades	Hermes	Hades
Humanities	Tefnut had the body of a lioness.	False	True			False
Humanities	The name of god Amen means this.	The Wise One	The Stupid One	The Mighty One	The Hidden One	The Hidden One
Humanities	At first, there was only this god. He was the dark waters of chaos.	Nun	Atum	Iris	Bes	Nun
Humanities	The word tycoon means a wealthy businessperson.  What language does it come from?	Greek	Latin	Russian	Chinese	Chinese
Humanities	Apart from being the name of a well-known rock group, placebo also means an innocuous medicine, prescribed only for psychological effect over the patient or for experimentations. But what is its true meaning in Latin?	Pleasure	Hypnotism	I shall please	Harmless	I shall please
Humanities	The original meaning of the word grotesque was very different from the one we know. What was it?	Foolish	Big	Illiterate	Fantastic	Fantastic
Humanities	The Amazon estuary is truly magnificent. The word estuary comes from this language.	Latin	Chinese	Spanish	Portuguese	Latin
Humanities	The word devil is derived from the Greek word diabolos. What does diabolos mean?	Silly	Accuser	Offender	Insane	Accuser
Humanities	After a divorce, the court might order one of the sides to pay an alimony. What are the origins of the word alimony?	Turkish	Greek	Latin	Japanese	Latin
Humanities	The Greek word kome means hair of the head. Which one of these words derives from it?	Court	Coma	Comet	Comb	Comet
Humanities	The name of the flower dandelion comes from this language.	Portuguese	Anglo-Saxon	French	Swedish	French
Humanities	A good sense of humor is highly valued everywhere. The original meaning of the word humor in Latin (more accurately umor) is this.	State of mind	Body fluid	Good word usage	Good joke	Body fluid
Humanities	The word nice is very popular nowadays, but its original meaning in Latin is not as nice.	Disobedient	Clumsy	Ignorant	Hideous	Ignorant
Humanities	The longest word in the English language is pneumonoultramicroscopicsilicovolcanoconiosis. It consists of 45 letters and stands for this.	Part of an organ	Surgical operation	Disease	Medical device	Disease
Humanities	One of the following words is a synonym of the word cognoscente.	Supervisor	Distributor	Philosopher	Connoisseur	Connoisseur
Humanities	The word razzmatazz means this.	Ambiguous language	Gizmo	Knick-knack	Amulet	Ambiguous language
Humanities	A nap in the early afternoon is called by this word taken from Spanish.	Enchilada	Taco	Arroyo	Siesta	Siesta
Humanities	Crwth is a fascinating word. It has no vowels. This is what it means.	Tool	Musical instrument	Rulers title	Pot	Musical instrument
Humanities	The she-goat Amalthea, which nursed baby Zeus, is represented by what constellation?	Hydra	Capricorn	Capra	Virgo	Capra
Humanities	This constellation was named after a Greek goddess. She was beautiful, but conceited. In order to punish her for that, Poseidon sent her figure to the skies upside down.	Perseus	Aquila	Andromeda	Cassiopeia	Cassiopeia
Humanities	There are many myths about this constellation. The earliest one, however, comes from a Sumerian legend about a female dragon, who ruled over the primordial ocean before the creation. But new gods rebelled against her and sent her to the skies.	Crux	Draco	Aquila	Cygnus	Draco
Humanities	Although it is a galaxy, the story about its creation is not less intriguing. Many legends associate its formation with milk spilled in one way or another. However, a Mesopotamian legend explains another thing. After the deluge the ark of Utnapishtim, the Sumerian Noah, was stuck on Mount Ararat. He then made a sacrifice to the gods and this galaxy was created out of the smoke of the fire.	Aries	Draco	Ara	The Milky Way	The Milky Way
Humanities	This constellation was named after a creature from the Greek mythology which is a combination between a human and a horse. Such creatures were of violent nature but there was one exception - Chiron, who was the tutor of Hercules.	Eridanus	Auriga	Delphinus	Centaur	Centaur
Humanities	This is a star group in Taurus. It was called after the seven daughters of the Titan Atlas and the Nymph Plieone - Alcyone, Maia, Electra, Merope, Taygeta, Celaeno, and Sterope.	Gemini	Aries	Pleiades	Crux	Pleiades
Humanities	This constellation was named after a Greek hero who bragged to be the greatest hunter. Goddess Hera heard that and sent a scorpion after him to test his skills. The hero was stung to death by the scorpion. Zeus felt sorry and sent him to the sky.	Sagitta	Cancer	Sirius	Orion	Orion
Humanities	This constellation is often associated with Ganymede, who was a beautiful Phrygian youngster. Jupiter once saw him, fell in love with the lad and came to the earth as a bird, which took him to the skies. Since then he has served as the cup bearer of the gods.	Delphinus	Aquarius	Ara	Pisces	Aquarius
Humanities	This was the instrument that Orpheus played so well that his music enchanted even the wild beasts, the rocks, and the trees. After he lost his beloved one - Eurydice, Zeus placed Orpheuss musical instrument on the sky.	Triangulum	Libra	Lyre	Sagitta	Lyre
Humanities	This constellation represents the twin brothers Castor and Pollux. They were born by one mother, Leda, but had different fathers. Leda got pregnant simultaneously by Jupiter and the king Tyndarus of Sparta. When Castor died, Pollux felt so sorry that he begged Jupiter to unite them again, so Jupiter reunited the brothers in the sky.	Gemini	Puppis	Pleiades	Pisces	Gemini
Humanities	What does the verb to dub mean?	To make a major mistake	To study hard as in an all- nighter	To give a name	To hit very hard on the head or neck	To give a name
Humanities	If you command a horse to gee, what do you expect him to do?	Stop completely	Go back a few paces	Turn left	Turn right	Turn right
Humanities	If you put a hex on someone, what have you done?	Curse that person to hell	Drown him or her as a witch.	Wish him or her good luck	Put him or her under a spell	Put him or her under a spell
Humanities	Which of the following terms means to search for fun?	Dap	Vex	Gad	Gob	Gad
Humanities	What does to vex mean?	To annoy	To hurry	To spin very fast	To curse	To annoy
Humanities	What does to sup refer to?	Eat soup very nosily	Dine in elegance	Eat an evening meal	Eat like an animal	Eat an evening meal
Humanities	What does the verb hew mean?	To cut	To fasten with glue or paste	To mend	To hollow out a log	To cut
Humanities	Which of the following terms means to recede?	Lob	Orb	Gee	Ebb	Ebb
Humanities	What does to hie mean?	To hurry	To fear	To stop	To type by touch	To hurry
Humanities	What is the meaning of the verb to jam?	To interfer with a radio signal	To spread with a jelly-like substance	To soak flax prior to spinning	To unclog a bunch of logs in a stream	To interfer with a radio signal
Humanities	Which of the following fictional or legendary hybrids is not half-human?	Merman	Asterius	Half-orc	Baku	Baku
Humanities	Which of the following is a legendary creature with a lion body and eagle head and wings?	Basilisk	Mandrake	Arachne	Griffin	Griffin
Humanities	What is the name of the monstrous creature from Greek Mythology, that is the offspring of Typhon and Echidna?	Chimera	Pegasus	Mermaid	Chiron	Chimera
Humanities	What kind of creature was the African mythological hybrid Jengu?	A water spirit	An elf	A lizard	A monstrous insect	A water spirit
Humanities	This hybrid is an Egyptian sacred baboon with the head of a dog.	Sphinx	Felinity	Reprobus	Cynocephalus	Cynocephalus
Humanities	What is the name of the legendary half-man and half-goat (or half-horse) creature often associated with male sexuality in Greek mythology?	Praxiteles	Anubis	Pan	Satyr	Satyr
Humanities	The sphinxes, the popular legendary creatures of the Ancient Egyptians, could be depicted with three different heads. Which head that was not typical for the sphinx?	Snake head	Ram head	Bird head	Human head	Snake head
Humanities	The legendary creature Peryton, that was said to come from the lost continent Atlantis, is a hybrid of what two animals?	Stag and bird	Stag and snake	Horse and lizard	Bird and insect	Stag and bird
Humanities	Which of the following is an evil mythological hybrid of a woman and a bird?	Ogress	Harpy	Trowe	Titan	Harpy
Humanities	The world sirena refers to this mythical or folklore hybrid of a woman and an animal?	Mermaid	Grendel	Vampire	Manticore	Mermaid
Humanities	In which musical does Curly sing Surrey With the Fringe on Top to entice his girlfriend to accompany him to a party?	Oklahoma	Will Rogers Follies	The Pajama Game	Sound of Music	Oklahoma
Humanities	The hit song If I Were a Rich Man, which reflected the dreams of a poor milkman, came from which musical of the 60s?	Fiddler on the Roof	42nd Street	Chicago	Cats	Fiddler on the Roof
Humanities	All That Jazz is the opening number of which 1975 Bob Fosse musical?	42nd Street	Chicago	Fiddler on the Roof	Cats	Chicago
Humanities	The moving song I Am What I Am is sung at the end of Act I of which Jerry Herman hit show?	Hello Dolly	La Cage aux Folles	Damn Yankees	My Fair Lady	La Cage aux Folles
Humanities	Which musical of the 50s featured the song Some Enchanted Evening?	Mame	Hello Dolly	South Pacific	George M.	South Pacific
Humanities	Whatever Lola Wants is performed by the sultry Lola trying to tempt a faithful husband in which  Bob Fosse show?	Fosse	The Pajama Game	Chicago	Damn Yankees	Damn Yankees
Humanities	In which show does Eliza sing The Rain in Spain?	My One and Only	Kismet	Kiss me Kate	My Fair Lady	My Fair Lady
Humanities	Fill in the blank with the correct word:	...	its	...	its	its
Humanities	The word catholic means the same whether capitalized or not.	False	True			False
Humanities	Stationery means fixed, not moveable.	True	False			False
Humanities	Stationary is fancy writing paper.	False	True			False
Humanities	What is the meaning of the adverb altogether?	Entirely	Near by	Unclothed	In the same place	Entirely
Humanities	What does the collocation all together mean?	In the same place	Completely	The same as altogether	All told	In the same place
Humanities	What does the word principal mean?	Origin	Main	Characteristic	Law	Main
Humanities	Is counsel the correct word for a group called together for a purpose?	No	Yes			No
Humanities	Counsel is giving of advice.	False	True			True
Humanities	These creatures ruled the world until they were overthrown by the Twelve Olympians, led by Zeus.	Cyclopes	Titans	Animals	Humans	Titans
Humanities	Cronus learned he was destined to be overcome by his own son as he had overthrown his own father, thats why he wanted to kill Zeus.	True	False			True
Humanities	The Cyclopes gave Zeus fire.	True	False			False
Humanities	Hermes is the highest ranking and most powerful god in Greek mythology.	True	False			False
Humanities	What was Rembrandts last name?	Rembrandt is his last name	Van Dyke	Bosch	Van Rijn	Van Rijn
Humanities	What was the first name of Van Goghs brother?	Theo	Pierre	Edward	Hans	Theo
Humanities	For which opera did Gershwin become posthumously famous?	Rhapsody in Blue	An American in Paris	The Days Gone By	Porgy and Bess	Porgy and Bess
