Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
People	What music video portrays Kylie Minogue lying amongst many men and women by a poolside?	On a Night Like This	Red Blooded Woman	Chocolate	Slow	Slow
People	Which statesman uttered these words: “Thus, by every device from the stick to the carrot, the emaciated Austrian donkey is made to pull the Nazi barrow up an ever-steepening hill”?	Winston Churchill	Joseph Stalin	Franklin D. Roosevelt	Charles DeGaulle	Winston Churchill
People	There is no glory in outstripping donkeys” was a statement by this Greek Emperor.	Romulus Augustus	Marcus Aurelius	Tiberius	Hadrian	Marcus Aurelius
People	Which modern day comedian annoyed his wife with this saying: “I kept giving her donkey ears.”?	Chevy Chase	Adam Sandler	Dan Aykroyd	Ben Stiller	Chevy Chase
People	This Welsh-born English poet said: If a donkey bray at you, dont bray at him”.	George Herbert	Waldo Williams	Bertrand Russell	Dylan Thomas	George Herbert
People	“I lived in the US for donkeys years so it has been a journey back in time for me. If you have had personal experience of something, it is always more authentic.” is a quote by this Australian author.	Isobelle Carmody	Kate Morton	Melina Marchetta	Colleen McCullough	Colleen McCullough
People	“In school nativity plays I was always the bloody little donkey, I was never Mary.” says this singer-songwriter who is also famous as a member of an all female group. Who is she?	Keren Woodward	Rozonda Chilli Thomas	Geri Halliwell	Kelly Rowland	Geri Halliwell
People	“That which is called firmness in a king is called obstinacy in a donkey” is a quote by an American author and educator.	John Erskine	Jerome Allen	Herbert Kohl	John Corcoran	John Erskine
People	“Do you think yourself wise? Then theres a donkey inside your waistcoat” is a quote from one of the British preacher/theologians of the 19th century.	Charles H. Spurgeon	Hugh Price Hughes	Borden Parker Bowne	William Burt Pope	Charles H. Spurgeon
People	“I do believe the Democratic party has moved far to the right. I do believe that the party has a bunch of elephants running around in donkey clothes.” is a quote by this outstanding American reverend.	Al Sharpton	Louis Farrakhan	Jesse Jackson	Jeremiah Wright	Al Sharpton
People	“Yeah, blindfolds, just like pin the tail on us. Were the donkey.” is a quote from an American lead vocalist and musician of a heavy metal band. Who is he?	Vince Neil	Robert Plant	Axl Rose	Rob Halford	Vince Neil
People	“Let him not recite the Veda on horseback, nor on a tree, nor on an elephant, nor in a boat ,or ship , nor on a donkey, nor on camel, nor standing on barren ground, nor riding in a carriage.” was spoken by one of the 11 gurus of India. Which one?	Guru Granth Sahib	Guru Nanak	Guru Angad	Guru Har Gobind	Guru Nanak
People	After the death of her lover, Cleopatra found true love.  Though Egypt and Rome did not get along,  these two people married in 36 B.C, planning to conquer Rome.	Antony and Cleopatra	Ptolemy and Cleopatra	Julius Caesar and Cleopatra	Octavian and Cleopatra	Antony and Cleopatra
People	When the ruler of the Mughal Empire married his favorite wife, they were still teenagers. She gave birth to 14 children. After her death  in 1629, the grieving emperor created one of worlds most beautiful edifices - Taj Mahal, paying tribute to his beloved wife.	Alfred Lunt and Lynn Fontanne	Shah Jahan and Raza Devi	Abelard and Heloise	Shah Jahan and Mumtaz Mahal	Shah Jahan and Mumtaz Mahal
People	In 1898, three years after their marriage,  this scientific couple  discovered polonium and radium. Thus,  they won the Physics Nobel Prize in 1903 for discovering radioactivity.	Anthony and Cleopatra	Abigail and John Adams	John Alden and Priscilla Mullins	Marie and Pierre Curie	Marie and Pierre Curie
People	The beautiful Egyptian queen was chief wife of an Egyptian Pharaoh in 14th century BC. The couple remained in history as great reformers due to the profound religious changes they made - they introduced the monotheistic worship of the sun disk.	Tutankamun and Cleopatra	Nefertiti and Ay	Amenhotep IV and Nefertiti	Tutankamun and Nefertiti	Amenhotep IV and Nefertiti
People	Philosophy brought together this ancient Greek couple.  The wife had a courtesan salon which was frequented by many of the philosophers we now know, but only one of them got to really know her. Noted for her great intellectual power, she gave him inspiration for his work in rhetorics.	Aspasia and Plutarch	Aspasia and Plato	Aspasia and Pericles	Aspasia and Xenophon	Aspasia and Pericles
People	She was a successful Hollywood actress and he was the president of the USA.  They never managed to be together legally, but their relationship was a public secret.	Marilyn Monroe and Joe DiMagio	Marilyn Monroe and John Kennedy	Ava Gardner and Bobby Kennedy	Ava Gardner and Frank Sinatra	Marilyn Monroe and John Kennedy
People	Being romantic poets, these two had a really romantic relationship. They knew how to do it, including all the elements a romantic story needs: secret courtship, love poems and everything necessary for their love to thrive.	Charles and Katherine Dickens	Robert and Elizabeth Browning	Marie and Pierre Curie	Sappho and Homer	Robert and Elizabeth Browning
People	He was a famous French conqueror,  but this wasnt enough for her to accept the marriage proposal immediately. She hesitated at first, but finally agreed.	Napoleon and Josephine Baker	Napoleon and Josephine	Alexander the Great and Cleopatra	Amenhotep and Nefertiti	Napoleon and Josephine
People	The most famous gangster couple in history, her last name was Parker and he was the anti-authoritarian criminal Barrow.	Bonnie and Clyde	Cuocolo and Cutinelli	Barre and Lebiez	Lou Jean Poplin and Clovis	Bonnie and Clyde
People	On April 9, 2005 their marriage ended years of speculation on a relationship which has spanned the decades since they first met in 1970.	Charles and Camilla	Kate Beckingsale and Len Wisemen	Catherine Zeta-Jones and Michael Douglas	Jason Priestley and Naomi Lowde	Charles and Camilla
People	Babe Ruths nickname	The Crusher from Conrad	The Yankee menace	The Sultan of Swat	The Prince of Power	The Sultan of Swat
People	Red Grange	The Galloping Ghost	The Illini Rocket	Greased Lightning	The Wheatfield Warrior	The Galloping Ghost
People	Jerry West	Mr. Gearhead	Mr. Amazing	Mr. Fantastic	Mr. Clutch	Mr. Clutch
People	Edson Arantes Do Nascimento	Maradonna	Carmingo	Barloli Dominguez	Pele	Pele
People	Jack Nicklaus	The Golden Eagle	The Golden Buckeye	The Golden Swing	The Golden Bear	The Golden Bear
People	Rod Laver	Booster	Rocket	Ram	The Australian Lion	Rocket
People	Joe Namath	White Shoes	5th Avenue Joe	Broadway Joe	Smooth as Silk	Broadway Joe
People	Willie Mays	The Kansas Kid	Fearless	The Say-Hey Kid	The Frisco Phenom	The Say-Hey Kid
People	Bobby Hull	The Golden Blackhawk	The Golden Flash	The Golden Goose	The Golden Jet	The Golden Jet
People	Paavo Nurmi	The Finnish Flash	The Turko Wonder	The Flying Finn	The Turko Turbo	The Flying Finn
People	Gary Leon Rigway is known as the Green River Killer, responsible for at least 48 murders.  What kind of people did he target?	Nurses	Prostitutes and runaways	Schoolboys	Schoolgirls	Prostitutes and runaways
People	This serial killer, known as The Ripper of Rostov, roamed Russia in the late 1900s.  He was later found guilty of 52 murders and sentenced to death.	Anatoly Onoprieno	Vadim Yershov	Nikolai Dzhurmongaliev	Andrei Chikatilo	Andrei Chikatilo
People	The Monster of the Andes, as Pedro Lopez is known, terrorized Ecuador, Peru and Colombia. How many people did he victimize?	More than 300	More than 100	More than 50	More than 200	More than 300
People	Certainly one of the most dreadful serial killers in US history. Even though he performed as a clown at neghborhood childrens parties, he killed 33 teenagers.	Joe Ball	John Wayne Gacy	Marie Besnard	Albert Fish	John Wayne Gacy
People	Bruno Ludke was born in 1909. When he was young, he tortured animals for fun. He strangled or stabbed to death 85 women.  Where was he from?	Russia	Great Britain	America	Germany	Germany
People	This serial killer terrorized Washington, Oregon, Colorado, Utah, and Florida. His death sentence was executed in Florida on 24 January 1989.	Richard Ramirez	Richard Iceman Kuklinski	Juan Corona	Ted Bundy	Ted Bundy
People	This mans rampage lasted from 1979 to 1981. He roamed Atlanta and Georgia, taking the lives of 27 innocent boys. At first the police thought he was a white supremacist, because he targeted black boys, but it turned out he was black himself.  He was caught on 22 May 1981.	Kendall Francois	Wayne Williams	Guy Georges	Robert Berdella	Wayne Williams
People	This serial killer was known as The Candy Man. His partner,  Wayne Henley, eventually shot him.	Richard Angelo	Dean Corll	Clifford Robert Olson	Abdallah al-Hubal	Dean Corll
People	Henry Lee Lucas confessed to more than 500 murders. How many murders was he actually convicted of?	600	201	255	11	11
People	There are many theories about the identity of this mysterious British serial killer. He marks the dawn of the modern age of serial murders. Although the number of his victims is not high, compared to others on our list (5), he is probably the worlds most famous serial murderer.	Earl Frederick	Jack The Ripper	The Toledo Clubber	Joel Rifkin	Jack The Ripper
People	He disliked Jews and accused them of causing all disasters in German history.	Mussolini	Lenin	Stalin	Hitler	Hitler
People	He delivered the famous I have a dream speech.	Mao Zedong	Martin Luther King Jr.	Ho Chi Minh	Pope John Paul II	Martin Luther King Jr.
People	She was the only woman to become Prime Minister of Great Britain.	Diane Julie Abbott	Queen Victoria	Margaret Thatcher	Elizabeth Furse	Margaret Thatcher
People	He was the only Pope of non-Italian origin since the Dutch-German Pope Adrian VI.	John Paul I	Benedict XVI	Blessed John XXIII	Pope John Paul II	Pope John Paul II
People	He was the only actor to become US President.	Teddy Roosevelt	Franklin Delano Roosevelt	Ronald Reagan	Bill Clinton	Ronald Reagan
People	He was the first democratically-elected President of South Africa.	Nelson Mandela	Martin Luther King	Mao Zedong	Lech Walesa	Nelson Mandela
People	He brought the cause of Indias independence to world attention.	Ho Chi Minh	Lech Walesa	Nelson Mandela	Mohandas Gandhi	Mohandas Gandhi
People	Which British Prime Minister is considered to have saved his country during WW2?	Edward Heath	Neville Chamberlain	Edward Churchill	Winston Churchill	Winston Churchill
People	He established the first fascist party.	Hitler	Winston Churchill	Benito Mussolini	Stalin	Benito Mussolini
People	The name he is known as means Awakened One, Enlightened One.	Jesus Christ	Dalai Lama	Buddha	Mohamed	Buddha
