Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
Religion-Faith	What Hollywood actor portrayed Casanova in the 2005 movie entitled Casanova, based on the life of the popular adventurer?	Johnny Depp	Antonio Banderas	Heath Ledger	Ryan Phillippe	Heath Ledger
Religion-Faith	Which of these is NOT a son of Adam and Eve?	Enoch	Cain	Abel	Seth	Enoch
Religion-Faith	Noah sent these two birds out of the ark to search for land:	raven and hawk	hawk and jay	raven and dove	dove and hawk	raven and dove
Religion-Faith	Jacob had 12 sons.  Which of his wives/maids bore the most babies?	Zilpah	Leah	Rachel	Bilhah	Leah
Religion-Faith	Which of these animals did the Israelites worship while Moses was on the mountain?	bull	calf	duck	ram	calf
Religion-Faith	Many of King Solomons wise sayings are recorded in Book 10 of Proverbs.  Which of these is NOT found there?	When you see trouble coming, dont be stupid and walk right into it--be smart and hide.	Good people are remembered long after they are gone, but the wicked are soon forgotten.	Children with good sense make their parents happy, but foolish children make them sad.	You will say the wrong thing if you talk too much--so be sensible and watch what you say.	When you see trouble coming, dont be stupid and walk right into it--be smart and hide.
Religion-Faith	Mary was visited by this angel.	Uriel	Raphael	Gabriel	Michael	Gabriel
Religion-Faith	Jesus was fond of using parables to give his messages.  Which of these was NOT one he used?	The Parable of the Mustard Seed	The Parable of the Old Men and the Young	The Parable of the Prodigal Son	The Parable of the Ten Servants	The Parable of the Old Men and the Young
Religion-Faith	Which of the Horsemen of the Apocalypse is the first to be called out?	Black Horse (Famine)	Red Horse (War)	White Horse (Conquest )	Pale/Green Horse (Death)	White Horse (Conquest )
Religion-Faith	Complete the following quote from Matthew 5:3: Blessed are the poor in spirit, for ________	they shall be comforted.	shall be called children of God.	they shall see Heaven.	theirs is the Kindgom of Heaven.	theirs is the Kindgom of Heaven.
Religion-Faith	Who wrote the first five books of the Bible?	Adam	Joseph	Moses	Abraham	Moses
Religion-Faith	In the Bible, how many wives and concubines did Solomon have?	2000	500	1000	100	1000
Religion-Faith	Who wrote most of the books in the New Testament?	David	John	Peter	Paul	Paul
Religion-Faith	Who wrote the Book of Revelation while in exile?	Paul	Peter	James	John	John
Religion-Faith	According to the accepted theory, how old was Jesus when He was crucified?	33	27	40	30	33
Religion-Faith	How old was Jesus when He performed His first miracle (Biblical, not Apocriphal)?	40	33	27	30	30
Religion-Faith	David, the famous ancient King of Israel, was the oldest child in the family.	True	False			False
Religion-Faith	It is stated in the Bible that God told Moses to build the Temple in Jerusalem.	True	False			False
Religion-Faith	According to the New Testament, who obtained permission to take Jesus Christs body down from the cross and place it in the tomb?	Joseph of Arimathea	Joseph of Antioch	Mary Magdalene	Apostle Peter	Joseph of Arimathea
Religion-Faith	Apostle Paul was a kind, friendly and peace-loving man who always helped Christians even before his conversion to Christianity.	False	True			False
Religion-Faith	Seven people went on the ark with Noah according to the Bible, Genesis, chapters 6 to 9.	True	False			True
Religion-Faith	What was the profession of Luke the Apostle according to the New Testament?	Tax collector	Carpenter	Physician	Boat builder	Physician
Religion-Faith	Who committed the first murder in the Bible?	Cain	Solomon	Adam	Abel	Cain
Religion-Faith	Who was Gods son according to the Bible?	John	Peter	Solomon	Jesus	Jesus
Religion-Faith	What is the name of the angel that God sent to tell Mary she was to conceive Jesus?	Abraham	Gabriel	Michael	Peter	Gabriel
Religion-Faith	Who was Jesus earthly father according to the Bible?	Solomon	Joseph	no one	David	Joseph
Religion-Faith	Which of the following is not generally considered one of the seven deadly sins?	obfuscation	hatred	lust	envy	obfuscation
Religion-Faith	According to Matthew and Luke, in what city was Jesus born?	Jerusalem	Bethlehem	Babylon	Nazareth	Bethlehem
Religion-Faith	Can a deacon get married?	No	Yes			Yes
Religion-Faith	You drink the coffee and turn the cup upside down.  The reader predicts the future, deciphering various patterns formed inside the cup.	Hakata	Scrying	I Ching	Tasseomancy	Tasseomancy
Religion-Faith	This is a deck of 78 cards with pictures and inscriptions on them. They are divided into several suits and the person extracts cards that the reader interprets.	Tarot	Cartopedy	Belote	Cledonism	Tarot
Religion-Faith	This method of divination uses air and water. The person covers their head with a cloth, fill a vase with water and expose it to the air.  They whisper a wish over the vase. If bubbles show on the water surface, this is considered a positive sign and the wish will probably come true.	Water scrying	Critomancy	Dowsing	Eromancy	Eromancy
Religion-Faith	This method includes hexagrams which consist of six lines either solid or broken. Solid lines are considered strong and active, and broken lines stand for weak and acquiescent. These lines define the meaning of the hexagrams. Each hexagram has a different meaning. You determine your own hexagram by tossing 3 coins 3 times.	Tarot	I Ching	Aura information	Astrology	I Ching
Religion-Faith	This method of divination uses a set of 24 alphabet letters that are usually carved on small tiles, so that the person could extract one of all 24 and to interpret its meaning. They were also carved and drawn building walls for protection.	Runes	Tarot	Palm reading	Shell scrying	Runes
Religion-Faith	This is the careful screening of your palm, its shapes and lines in order to guess some events from the past and see events in the future.	Palmistry	Cledonism	Tasseomancy	Cartopedy	Palmistry
Religion-Faith	This method uses climate conditions to predict the future. It was considered that climate is the attitude of gods towards men, and that each atmospheric event had its own meaning.	Cephalomancy	Aeromancy	Graphology	Bibliomancy	Aeromancy
Religion-Faith	This method uses books for predicting ones future. The person should take a book, open to a random page and read a passage. Then he should interpret it.	Geomancy	Bibliomancy	Hydromancy	Chiromancy	Bibliomancy
Religion-Faith	This way of divination uses onion sprouts. First a ritual is held in order to state what the divination is about. Then the onion sprouts are put on an altar. It is thought that onion sprouts can tell you about friends and relatives who are far away, give love advice and answer yes or no questions about the future.	Cromniomancy	Crystallomancy	Chirognomy	Cyclomancy	Cromniomancy
