Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
Science-Technology	Immanuel Kant criticized Emanuel Swedenborg and termed him a “spook hunter”.	True	False			True
Science-Technology	Clouds are made up of these.	Carbon atoms	Water droplets and ice crystals	Oxygen ions	Dust mites	Water droplets and ice crystals
Science-Technology	This formation is a conical hill or mountain. It is formed by mantle material being pressed through an opening in the Earths crust.	A volcano	A hill	An earthquake	A geyser	A volcano
Science-Technology	Japan suffers from this event very often. It is the sudden, light or violent movement of the earths surface caused by the release of energy in the earths crust.	Volcano	Earthquake	Tide	Tsunami	Earthquake
Science-Technology	It is the only continent that does not have land areas below sea level.	Australia	South America	Antarctica	Arctica	Antarctica
Science-Technology	It is the longest river in the world	Themes	The Amazon	The Nile	Danube	The Nile
Science-Technology	Why do travelers to La Paz, Bolivia, often become ill as soon as they arrive?	Because of the high temperature	Because of the humidity	Because of the soil quality	Because of the altitude	Because of the altitude
Science-Technology	In the US, why do we change our clocks on the daylight saving time dates in April and October?	To conserve energy	To increase the hours of the day	To extend the working day	Because the tourist period in most countries starts in May	To conserve energy
Science-Technology	These are places of arid land with really low rainfall and high tempertures variation. Their vegetation is insignificant and the population of people and animals is very limited.	Oceans	Raiforests	The equator	Deserts	Deserts
Science-Technology	This is a gemstone made by fossilized tree sap that is at least 30 million years old.	Obsidian	Amber	Tourmaline	Malachite	Amber
Science-Technology	This is the largest island on Earth and one third of it is a national park.	Greenland	Madagaskar	Australia	Alaska	Greenland
Science-Technology	Which of these organs has no known function in the human body?	tonsils	appendix	uvula	pineal gland	appendix
Science-Technology	The main function of this organ of respiration is to transport oxygen from the atmosphere into the bloodstream.	stomach	diaphragm	trachea	lung	lung
Science-Technology	This gland is shaped like a butterfly and helps regulate energy in the body.	parathyroid	thyroid	adrenal	thymus	thyroid
Science-Technology	The cerebellum section of the brain controls the fine movement and equilibrium, among other things.	True	False			True
Science-Technology	These organs are very sensitive and often fail in people with very high blood pressure or diabetes.	pancreas	kidneys	ovaries	lungs	kidneys
Science-Technology	Tooth enamel is the hardest substance in the body.	False	True			True
Science-Technology	This is one of the first signs of pregnancy.	Swollen Feet	Missed period	Hair loss	Waddling	Missed period
Science-Technology	This doctor takes care of you and your baby during pregnancy.	Psychologist	Periodontist	Obstetrician	Pediatrician	Obstetrician
Science-Technology	What is the most common method of child birth?	Cesarean	Vaginal	Water birth	In Vitro Fertilization	Vaginal
Science-Technology	The mother determines the sex of the baby.	False	True			False
Science-Technology	What are common side effects of pregnancy?	Stretch marks	Morning Sickness	All of the these	Weight gain	All of the these
Science-Technology	How far along are you approximately, when you feel the baby move for the first time?	10 weeks	35 weeks	2 weeks	20 weeks	20 weeks
Science-Technology	What is suggested that you not do several hours before you go into labor?  It could get you embarrassed.	Eat fish	Have sex	Talk on the phone	Eat food	Eat food
Science-Technology	What is also delivered along with the baby or immediately after its birth?	Feet	Shoulders	Placenta	Handbook	Placenta
Science-Technology	These small bodies are considered left overs from the formation of the Solar system some 4.6 billion years ago.	Comets	Stars	Planets	Asteroids	Asteroids
Science-Technology	These are lumps of ice and dust.  When they get close enough to the Sun they gradually evaporate.  Jets of gas and dust create long tails that people can see from Earth.	Asteroids	Comets	UFOs	Stars	Comets
Science-Technology	This planet is slightly smaller than Earth and its closest neighbor (excluding the Moon).	Venus	Uranus	Mars	Saturn	Venus
Science-Technology	This planet is has the largest  group of moons - 31, but it is best known for its ring system.	Neptune	Mars	Saturn	Venus	Saturn
Science-Technology	This planet of the Solar System was named after a Greek god of the sea and earthquakes. The name is actually the Roman translation of the gods name.	Mercury	Neptune	Pluto	Uranus	Neptune
Science-Technology	As this is the closest planet to the Sun, its temperatures at the surface range between -300 and 800 F (hot enough for lead to melt).	Neptune	Mercury	Pluto	Venus	Mercury
Science-Technology	The surface of this planet is unique, it is the only one which has water in large quantities.	Saturn	Pluto	Earth	Mars	Earth
Science-Technology	Which Solar System celestial bodys revolution around the Sun takes 248 years?	Saturn	Pluto	Neptune	Uranus	Pluto
Science-Technology	This is the largest planet in our solar system. It is most famous for its Great Red Spot.	Mars	Neptune	Saturn	Jupiter	Jupiter
