Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
Television	Urban Meyer left the head coach position at the Utah Utes to become head coach of this team.	Florida St.	Bowling Green	University of Florida	University of Miami	University of Florida
Television	Jack Bauer, Nina Myers and George Mason are three of the characters of this TV series.	24	3 South	60 Minutes	20/20	24
Television	Harry Solomon, Dick Solomon and Dr. Mary Albright.	Battlestar Galactica	3rd Rock from the Sun	The A-Team	7th Heaven	3rd Rock from the Sun
Television	The annoying neighbours, the Ochmoneks are from this TV show.	Dawsons Creek	ALF	Beverly Hills 90210	All My Children	ALF
Television	One of these characters is not from Baywatch.	Hobie Buchannon	Jill Riley	Kelly Taylor	Craig Pomeroy	Kelly Taylor
Television	Gilbert (Gil) Arthur Grissom is the night shift team supervisor from this TV show.	The City	CSI: Crime Scene Investigation	CSI: New York	CSI: Miami	CSI: Crime Scene Investigation
Television	One of these ER characters is not a doctor.	Gregory Pratt	Ray Barnett	Dave Malucci	Samantha Taggart	Samantha Taggart
Television	This was one of the best known bosses of Fred Flintstone.	Mr. Jones	Mr. Slate	Mr. Garret	Mr. Smith	Mr. Slate
Television	Julie Cooper and Summer Roberts are two characters from this TV series.	Dawsons Creek	The O.C.	Beverly Hills 90210	One Tree Hill	The O.C.
Television	Charlotte York, Miranda Hobbes and Samantha Jones are female characters from this TV show.	Desperate Housewives	Sex and the City	Gilmore Girls	Smallville	Sex and the City
Television	Kelly and Bud are the kids of a family depicted in this TV series.	Married... with Children	Happy Family	The Partridge Family	All in the Family	Married... with Children
Television	What is the name of the episode of SpongeBob SquarePants in which Sponge and friends all had superpowers?	Mermaid Man and Barnicle Boy 3	Fry Cook Games	Mermaid Man and Barnicle Boy 2	Bubblestand	Mermaid Man and Barnicle Boy 3
Television	Where does SpongeBob SquarePants live in the self-titled series?	In a coconut	In an apple	In a pineapple	In a watermelon	In a pineapple
Television	Sandy Cheeks, the popular character from the animated series SpongeBob SquarePants, is from what state?	Alaska	Florida	Texas	Georgia	Texas
